מעודכן לתאריך 29.08.2026
עיר;רחוב;מספר בית;קוד עיר;קוד רחוב;מיקוד
אבו גוש;אל פול;1;472;108;9084500
אבו גוש;אל פול;15;472;108;9084500
אבו גוש;אל פול;2;472;108;9084500
אבו גוש;אל פול;27;472;108;9084500
אבו גוש;אל פול;33;472;108;9084500
אבו גוש;אל פול;4;472;108;9084500
אבו גוש;אל-רשיד;9;472;159;9084500
אבו גוש;אלעבד עלי;;472;144;9084500
אבו גוש;אלעבד עלי;11;472;144;9084500
אבו גוש;אלעבד עלי;13;472;144;9084500
אבו גוש;אלעבד עלי;2;472;144;9084500
אבו גוש;אלעבד עלי;25;472;144;9084500
אבו גוש;אלעבד עלי;3;472;144;9084500
אבו גוש;אלעבד עלי;4;472;144;9084500
אבו גוש;אלעבד עלי;5;472;144;9084500
אבו גוש;אלעבד עלי;7;472;144;9084500
אבו גוש;בית הבד;13;472;134;9084500
אבו גוש;בית הבד;17;472;134;9084500
אבו גוש;בית הבד;5;472;134;9084500
אבו גוש;ג'בר;1;472;119;9084500
אבו גוש;ג'בר;24;472;119;9084500
אבו גוש;ג'בר;24א;472;119;9084500
אבו גוש;ג'בר;25;472;119;9084500
אבו גוש;ג'בר;26א;472;119;9084500
אבו גוש;ג'בר;27;472;119;9084500
אבו גוש;ג'בר;6;472;119;9084500
אבו גוש;דובדבנים;1;472;0;9084500
אבו גוש;דובדבנים;2;472;0;9084500
אבו גוש;דובדבנים;3א;472;0;9084500
אבו גוש;דולב;15;472;147;9084500
אבו גוש;דולב;19;472;147;9084500
אבו גוש;דולב;22;472;147;9084500
אבו גוש;דולב;26;472;147;9084500
אבו גוש;דולב;7;472;147;9084500
אבו גוש;דרך השלום;19;472;101;9084500
אבו גוש;דרך השלום;2;472;101;9084500
אבו גוש;דרך השלום;29;472;101;9084500
אבו גוש;דרך השלום;30;472;101;9084500
אבו גוש;דרך השלום;32;472;101;9084500
אבו גוש;דרך השלום;36;472;101;9084500
אבו גוש;דרך השלום;37;472;101;9084500
אבו גוש;דרך השלום;37א;472;101;9084500
אבו גוש;דרך השלום;39;472;101;9084500
אבו גוש;דרך השלום;41;472;101;9084500
אבו גוש;דרך השלום;47;472;101;9084500
אבו גוש;דרך השלום;5;472;101;9084500
אבו גוש;דרך השלום;50;472;101;9084500
אבו גוש;דרך השלום;53;472;101;9084500
אבו גוש;דרך השלום;54;472;101;9084500
אבו גוש;דרך השלום;55;472;101;9084500
אבו גוש;דרך השלום;60;472;101;9084500
אבו גוש;דרך השלום;61;472;101;9084500
אבו גוש;דרך השלום;62;472;101;9084500
אבו גוש;דרך השלום;63;472;101;9084500
אבו גוש;דרך השלום;64;472;101;9084500
אבו גוש;דרך השלום;69;472;101;9084500
אבו גוש;דרך השלום;75;472;101;9084500
אבו גוש;דרך השלום;76ב;472;101;9084500
אבו גוש;דרך השלום;77;472;101;9084500
אבו גוש;דרך השלום;78א;472;101;9084500
אבו גוש;דרך השלום;82א;472;101;9084500
אבו גוש;דרך השלום;9;472;101;9084500
אבו גוש;דרך השלום;91;472;101;9084500
אבו גוש;דרך מעלה החמישה;3;472;105;9084500
אבו גוש;דרך מעלה החמישה;4;472;105;9084500
אבו גוש;דרך מעלה החמישה;5;472;105;9084500
אבו גוש;האורנים;2;472;151;9084500
אבו גוש;האורנים;7;472;151;9084500
אבו גוש;האיריס;1;472;150;9084500
אבו גוש;האלה;2;472;149;9084500
אבו גוש;האלה;3;472;149;9084500
אבו גוש;הארזים;1;472;136;9084500
אבו גוש;הארזים;23;472;136;9084500
אבו גוש;הארזים;25;472;136;9084500
אבו גוש;הארמונות;11;472;139;9084500
אבו גוש;הארמונות;15;472;139;9084500
אבו גוש;הארמונות;17;472;139;9084500
אבו גוש;הארמונות;17א;472;139;9084500
אבו גוש;הארמונות;6;472;139;9084500
אבו גוש;הגורן;21;472;117;9084500
אבו גוש;הגורן;25;472;117;9084500
אבו גוש;הגנים;3;472;124;9084500
אבו גוש;הגנים;5;472;124;9084500
אבו גוש;הגפנים;6;472;137;9084500
אבו גוש;הגפנים;9;472;137;9084500
אבו גוש;הוואדי;;472;102;9084500
אבו גוש;הוואדי;14;472;102;9084500
אבו גוש;הוואדי;15א;472;102;9084500
אבו גוש;הוואדי;22א;472;102;9084500
אבו גוש;הוואדי;27;472;102;9084500
